Crop Code,Crop Name
1,BARLEY
2,MAIZE
3,MILLET
4,OATS
5,RICE
6,SORGHUM
7,TEFF
8,WHEAT
9,Mung Bean/ MASHO
10,CASSAVA
11,CHICK PEAS
12,HARICOT BEANS
13,HORSE BEANS
14,LENTILS
15,FIELD PEAS
16,VETCH
17,GIBTO
18,SOYA BEANS
19,RED KIDENY BEANS
20,FENNEL
21,CASTOR BEANS
22,COTTON SEED
23,LINESEED
24,GROUND NUTS
25,NUEG
26,RAPE SEED
27,SESAME
28,SUNFLOWER
29,MEGO
30,SAVORY
31,BLACK CUMIN
32,BLACK PEPPER
33,CARDAMON
34,CHILIES
35,CINNAMON
36,FENUGREEK
37,GINGER
38,RED PEPPER
39,TUMERIC
40,WHITE LUMIN
41,APPLES
42,BANANAS
43,GRAPES
44,LEMONS
45,MANDARINS
46,MANGOS
47,ORANGES
48,PAPAYA
49,PINAPPLES
50,CITRON
51,BEER ROOT
52,CABBAGE
53,CARROT
54,CAULIFLOWER
55,GARLIC
56,KALE
57,LETTUCE
58,ONION
59,GREEN PEPPER
60,POTATOES
61,PUMPKINS
62,SWEET POTATO
63,TOMATOES
64,GODERE
65,GUAVA
66,PEACH
67,MUSTARD
68,FETO
69,SPINACH
70,GREEN BEANS
71,CHAT
72,COFFEE
73,COTTON
74,ENSET
75,GESHO
76,SUGAR CANE
77,TEA
78,TOBACCO
79,CORIANDER
80,SACRED BASIL
81,RUE
82,GISHITA
83,WATERMELON
84,AVOCADOS
85,GRAZING LAND
86,TEMPORARY GR
97,PIJAPIN
98,OTHER ROOT C
99,OTHER LAND
100,NL20F
104,KEENKECH
108,AMBOSHIKA
110,GIRAMTA
112,KAZMIR
113,STRAWBERRY
114,SHIFERAW
115,OTHER FRUITS
116,TIMIZ KIMEM
117,OTHER SPICES
118,OTHER PULSES
119,OTHER OIL SEED
120,OTHER CEREAL
121,OTHER CASE CROPS
122,OTHERS
123,OTHER VEGETABLE
